Threshold,Baseline,MDNet,MDNet VOT bb16,MDNet VOT bb32,MDNet DAVIS bb16,MDNet DAVIS bb32,MDNet DAVIS bb64,Hourglass w/ Parent Network 1HG,Hourglass w/ Parent Network 1HG x2 s5,Hourglass w/o Parent Network 1HG,Hourglass w/o Parent Network 2HG,Hourglass w/o Parent Network 1HG x2 sigma 5,Hourglass w/o Parent Network 2HG x2 sigma5,Hourglass Online Training,ResNet101 sigma40,ResNet101 sigma40 + Temporal Kalman Filter,ResNet101 sigma20,ResNet50 sigma40,"ResNet50 Multiscale sigma96,48,24",Features ResNet Basic metriceuclidean patchsize1,Features ResNet Basic metriceuclidean patchsize3,Features ResNet Basic metriceuclidean patchsize5,Features ResNet Basic metriccosine patchsize1,Features ResNet Basic metriccosine patchsize3,Features ResNet Basic metriccosine patchsize5,Features Metric Learning (480p) Basic metriceuclidean patchsize1,Features Metric Learning (480p) Basic metriceuclidean patchsize3,Features Metric Learning (480p) Basic metriceuclidean patchsize5,Features Metric Learning (480p) Basic metriccosine patchsize1,Features Metric Learning (480p) Basic metriccosine patchsize3,Features Metric Learning (480p) Basic metriccosine patchsize5,Features Metric Learning (320p) Basic metriceuclidean patchsize1,Features Metric Learning (320p) Basic metriceuclidean patchsize3,Features Metric Learning (320p) Basic metriceuclidean patchsize5,Features Metric Learning (320p) Basic metriccosine patchsize1,Features Metric Learning (320p) Basic metriccosine patchsize3,Features Metric Learning (320p) Basic metriccosine patchsize5,Features Metric Learning Triplet Loss (480p) D128 Basic metriceuclidean patchsize1,Features Metric Learning Triplet Loss (480p) D128 Basic metriceuclidean patchsize3,Features Metric Learning Triplet Loss (480p) D128 Basic metriceuclidean patchsize5,Features Metric Learning Triplet Loss (480p) D128 Basic metriccosine patchsize1,Features Metric Learning Triplet Loss (480p) D128 Basic metriccosine patchsize3,Features Metric Learning Triplet Loss (480p) D128 Basic metriccosine patchsize5
72,0.5088336555495392,0.7867394253068407,0.27107963560072307,0.4329641914956143,0.2887390489489052,0.4675970870432237,0.42450256998022073,0.726264652275438,0.7194948635639326,0.7953618025341241,0.7840068045572066,0.746310379226019,0.7539595240917016,0.6309146664715143,0.852106894121856,0.8531382189077251,0.789600352907712,0.8714721202324789,0.8974303436355361,0.49836685465761776,0.5620092641024006,0.6140616611277766,0.5737850438320435,0.6058245409326595,0.6338069979905459,0.584467059312679,0.7087021299813926,0.6845874583791953,0.584467059312679,0.7154706924274038,0.7042086442303566,0.5926916791512485,0.6719748370755254,0.6730368163998082,0.5926916791512485,0.7163062324243626,0.7168684628991386,0.6178783371964005,0.6635930134242793,0.690386218843112,0.6178783371964005,0.6679534785405584,0.68534067110898
73,0.510626839571665,0.7892643899452092,0.28088156753652394,0.45299976087204247,0.2988119608916287,0.48195081896308495,0.4389738074445091,0.7268585094836899,0.7201384795797263,0.7977024634146811,0.7871597860241809,0.7468058902270647,0.7553786019235846,0.634325415628723,0.8527291373417911,0.8534649371391164,0.7897401196896385,0.8736355237518532,0.8976478720951524,0.5030950519804533,0.5674185919947753,0.6182608536714773,0.5793063899327842,0.6082854673803134,0.6371259457579609,0.5900490855038135,0.7118540611039004,0.687785372076078,0.5900490855038135,0.7192641343411881,0.7125533380574486,0.5983500610560922,0.6773079130696927,0.6762693866145861,0.5983500610560922,0.7179253014880558,0.7194627991819001,0.6215458820554838,0.6687803489904811,0.6936803168398293,0.6215458820554838,0.6735253559817057,0.6873150029570749
74,0.5187413933772511,0.7913791374704555,0.2860100633554825,0.46298623569398417,0.3056658474064407,0.49387922395534944,0.4515596642294957,0.7282945383718379,0.7213183435957902,0.8007305478235711,0.7895733244873648,0.7479855375887154,0.7570984084693823,0.6362791210941428,0.853012858867728,0.8537665901007988,0.789879886471565,0.8746217851022374,0.8978124234440517,0.5080492082871875,0.5706110758030215,0.6243854188357726,0.5829556132844967,0.6106957866124213,0.6418643892830941,0.5921683954628527,0.7152542326434304,0.6907699780361232,0.5921683954628527,0.7239942559508458,0.7147476991060531,0.6009740084933362,0.6797992841882236,0.6799508321383559,0.6009740084933362,0.7190794496443036,0.7227228447727704,0.6274538265209586,0.6724663059806787,0.6984410053512241,0.6274538265209586,0.6782802594690508,0.69124753240304
75,0.5228852691025357,0.7929210668796285,0.2941557055082538,0.47329838695190213,0.31266120389596713,0.5027556990248407,0.4646429345121085,0.7291979930219475,0.7220672987509633,0.803011555036546,0.7912702698571905,0.7492812078088424,0.7597511577705544,0.6376662833551303,0.8537859188003378,0.8541104913625208,0.7902344835112505,0.8756604327779102,0.8979769747929509,0.511584495543763,0.5728820560305913,0.625699496666417,0.5857512298202305,0.6141877431755645,0.6481410665683239,0.5968666724098391,0.7192619002021357,0.6961249429013013,0.5968666724098391,0.7271998983533569,0.7215475038932,0.6076416397407388,0.6869691510226511,0.6837072352748219,0.6076416397407388,0.7211123332250291,0.7250109003739482,0.6331926843164417,0.6778884564497875,0.7005719032833743,0.6331926843164417,0.684429154124206,0.6946665829600943
76,0.5307962777921956,0.798142212852037,0.2995431812286999,0.4847749293554157,0.3207499166442466,0.5101542878911267,0.4734664826303288,0.7299370302784098,0.7248654251631753,0.8043049336801271,0.7919837406036507,0.7498847306079623,0.7609717126194989,0.6397232049714966,0.855541064314744,0.8545007545997105,0.7910049854986506,0.8758673919822493,0.8981415261418502,0.5145276985185372,0.5750073658178575,0.6290957899415036,0.5891665330038988,0.6189279379009978,0.6537994003827126,0.6010829381113173,0.7237138051240879,0.7016661247902438,0.6010829381113173,0.7300375396438453,0.7268788143459476,0.6123833283275857,0.6944345236012428,0.6873493830257235,0.6123833283275857,0.7275314025812848,0.728869635684707,0.637075815691175,0.6827699298097821,0.7037771420863201,0.637075815691175,0.6902734797626492,0.6975937476770835
77,0.5338602107786466,0.8016140036371836,0.3079879539951689,0.4910202560806301,0.3257994810208109,0.5189035300719648,0.4845817810039067,0.7316817185065497,0.7272241951484992,0.8077249908532663,0.7939997734089789,0.7505072237214506,0.7612616087622242,0.640440015158246,0.8562056514808941,0.8572255313595576,0.7921001290434128,0.876020615945744,0.8990016055457936,0.52076253817532,0.579194069071575,0.6343006273627968,0.5952887875417485,0.6200748189639139,0.6636251091531019,0.6038429983076962,0.7267168491510081,0.7062580131751516,0.6038429983076962,0.7329500022412392,0.730376801957109,0.6181528629470868,0.7027486507655495,0.6947613494830702,0.6181528629470868,0.7347253949515961,0.7325550971171807,0.6438353139046541,0.6858455063910283,0.7100395015620294,0.6438353139046541,0.69745927645251,0.7013153715975714
78,0.5393870811619776,0.8021056166907232,0.31522958033062365,0.5005645152606991,0.33359455153846906,0.5247388369223502,0.49066765041966226,0.7332622994547934,0.7280498038365385,0.8101411651241734,0.7959367677211482,0.7523450760194095,0.7615515049049493,0.6415581968606885,0.856347399938428,0.8583092061326606,0.7927728960914191,0.8761738399092387,0.8992905283131968,0.5244086693653904,0.5853074331575426,0.6387062262851865,0.5977975859333976,0.6230248588562756,0.6697342749608249,0.6079923940455801,0.7288276614601059,0.7106192807552899,0.6079923940455801,0.7368148573432135,0.7357249159534431,0.6265872532046866,0.707223292499555,0.7007629256475254,0.6265872532046866,0.7387638805955514,0.7391870158372653,0.6487247722421338,0.6911433742294364,0.7148745409069246,0.6487247722421338,0.7020445370201341,0.7061536106743664
79,0.5430947047392277,0.8032458559594662,0.3203076763052581,0.5080385265535111,0.33855941168809606,0.5310899551373581,0.49520466258335477,0.7354955839983323,0.7286812186632953,0.8105920298101263,0.7977958002337437,0.755164844885502,0.7645887497472111,0.6450750677198279,0.8564891483959619,0.8588104731895789,0.7943842039232663,0.8763270638727334,0.8995794510806001,0.526497218979212,0.5879490260619034,0.6393857665664591,0.6006667461419146,0.6244119775580131,0.673457037877607,0.6103030151697917,0.731100908528152,0.7161599189244661,0.6103030151697917,0.738251579926703,0.741069196777343,0.6287445006066624,0.712189643375673,0.7063723116685805,0.6287445006066624,0.7424685956978911,0.7437899823267572,0.6570065834277885,0.6956129166341181,0.720433717324812,0.6570065834277885,0.7065140794248157,0.7087612153587798
80,0.5505735203196003,0.8044835215874799,0.329132318540456,0.5152096591910873,0.3427090466804709,0.5390797385194199,0.506827208453489,0.7371086291729697,0.7300428986101757,0.8108864053824734,0.7985329308155008,0.755665206352685,0.7651074338345379,0.647659880810196,0.8566308968534957,0.8599519173714412,0.7946468880017316,0.8765296351502111,0.9005528543771874,0.5278624199785324,0.590634013299942,0.6410532382498048,0.603475920748648,0.6276302032006174,0.6802388987779623,0.6134209068644388,0.7322811066549274,0.7179225117630781,0.6134209068644388,0.741381250687034,0.7455626130512363,0.629559597646757,0.7165163075569342,0.7076526128380488,0.629559597646757,0.7469994195846599,0.7452536561772393,0.662241516879044,0.6976583745328075,0.7243740709563475,0.662241516879044,0.7092779439751549,0.710125669811102
81,0.5566666391269592,0.8075557891341317,0.3349865309763161,0.5226929312383066,0.35122225491509373,0.5473500561427951,0.51533571676231,0.7382626239755667,0.7316915843600662,0.8111914850822257,0.8008985423458954,0.7568056654850537,0.7666226104131743,0.6494742409805696,0.8567726453110296,0.86113180210722,0.7949095720801969,0.8769649987489674,0.9008853098743341,0.5312466631831932,0.5924769935582516,0.6469648276021007,0.6104580243504915,0.6314229172030581,0.6852304814979558,0.6162533666086736,0.7348591363580839,0.7222578036312957,0.6162533666086736,0.7439344482251692,0.7497808306027948,0.6361447156375125,0.7206334896250373,0.7102342851468574,0.6361447156375125,0.7489765128808513,0.7464945160887604,0.6634052617404728,0.7012196933995916,0.7267898546124235,0.6634052617404728,0.7143031305556214,0.7125644548425757
